Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo
2022,3,11078691.0,12437.0,11091128.0,Jul-Sept 2022
2022,2,10946248.0,12436.0,10958684.0,Abr-Jun 2022
2022,1,10611390.0,12619.0,10624009.0,Ene-Mar 2022
2021,4,10476933.0,12861.0,10489794.0,Oct-Dic 2021
2021,3,10075184.0,10357.0,10085541.0,Jul-Sept 2021
2021,2,9852702.0,10382.0,9863084.0,Abr-Jun 2021
2021,1,9637956.0,10016.0,9647972.0,Ene-Mar 2021
2020,4,9561546.0,10016.0,9571562.0,Oct-Dic 2020
2020,3,9346183.0,10016.0,9356199.0,Jul-Sept 2020
2020,2,9021040.0,10016.0,9031056.0,Abr-Jun 2020
2020,1,8802435.0,9991.0,8812426.0,Ene-Mar 2020
2019,4,8783053.0,10128.0,8793181.0,Oct-Dic 2019
2019,3,9142891.0,21793.0,9164684.0,Jul-Sept 2019
2019,2,8938427.0,21754.0,8960181.0,Abr-Jun 2019
2019,1,8626323.0,21812.0,8648135.0,Ene-Mar 2019
2018,4,8451841.0,21814.0,8473655.0,Oct-Dic 2018
2018,3,8320223.0,26812.0,8347035.0,Jul-Sept 2018
2018,2,8083533.0,26911.0,8110444.0,Abr-Jun 2018
2018,1,8009981.0,27072.0,8037053.0,Ene-Mar 2018
2017,4,7842778.0,27444.0,7870222.0,Oct-Dic 2017
2017,3,7696594.0,28349.0,7724943.0,Jul-Sept 2017
2017,2,7401134.0,28530.0,7429664.0,Abr-Jun 2017
2017,1,7277314.0,28540.0,7305854.0,Ene-Mar 2017
2016,4,7223128.0,28545.0,7251673.0,Oct-Dic 2016
2016,3,7178340.0,28610.0,7206950.0,Jul-Sept 2016
2016,2,7097604.0,32475.0,7130079.0,Abr-Jun 2016
2016,1,6874704.0,32652.0,6907356.0,Ene-Mar 2016
2015,4,6952289.0,32542.0,6984831.0,Oct-Dic 2015
2015,3,6902267.0,32801.0,6935068.0,Jul-Sept 2015
2015,2,6783279.0,32909.0,6816188.0,Abr-Jun 2015
2015,1,6699714.0,38018.0,6737732.0,Ene-Mar 2015
2014,4,6559172.0,39324.0,6598496.0,Oct-Dic 2014
2014,3,6559264.0,36007.0,6595271.0,Jul-Sept 2014
2014,2,6428329.0,36139.0,6464468.0,Abr-Jun 2014
2014,1,6362108.0,36290.0,6398398.0,Ene-Mar 2014
