id_Provincia,Año,Trimestre,Banda ancha fija,Dial up,Total
0,2022,3,4715469,6199,4721668
1,2022,3,1545534,2145,1547679
2,2022,3,70292,1,70293
3,2022,3,144141,5,144146
4,2022,3,164874,904,165778
5,2022,3,1038600,68,1038668
6,2022,3,144842,4,144846
7,2022,3,268937,22,268959
8,2022,3,68537,1,68538
9,2022,3,118823,0,118823
10,2022,3,115921,171,116092
11,2022,3,86860,4,86864
12,2022,3,288746,777,289523
13,2022,3,182157,0,182157
14,2022,3,162693,468,163161
15,2022,3,160010,548,160558
16,2022,3,204536,5,204541
17,2022,3,103118,281,103399
18,2022,3,121888,182,122070
19,2022,3,49312,198,49510
20,2022,3,887700,110,887810
21,2022,3,119030,2,119032
22,2022,3,53584,312,53896
23,2022,3,263087,30,263117
0,2022,2,4660984,6199,4667183
1,2022,2,1534626,2145,1536771
2,2022,2,67007,1,67008
3,2022,2,143559,5,143564
4,2022,2,161901,904,162805
5,2022,2,1026367,68,1026435
6,2022,2,144993,4,144997
7,2022,2,269330,22,269352
8,2022,2,67881,0,67881
9,2022,2,115314,0,115314
10,2022,2,111356,171,111527
11,2022,2,86026,4,86030
12,2022,2,278785,777,279562
13,2022,2,178813,0,178813
14,2022,2,161500,468,161968
15,2022,2,159216,548,159764
16,2022,2,203172,5,203177
17,2022,2,100126,281,100407
18,2022,2,121559,182,121741
19,2022,2,48987,198,49185
20,2022,2,878749,110,878859
21,2022,2,118042,2,118044
22,2022,2,53458,312,53770
23,2022,2,254497,30,254527
0,2022,1,4549131,6293,4555424
1,2022,1,1415378,2163,1417541
2,2022,1,62377,1,62378
3,2022,1,144114,5,144119
4,2022,1,170701,927,171628
5,2022,1,1003729,74,1003803
6,2022,1,142574,4,142578
7,2022,1,267904,22,267926
8,2022,1,54548,0,54548
9,2022,1,116509,0,116509
10,2022,1,109560,172,109732
11,2022,1,84299,4,84303
12,2022,1,274399,786,275185
13,2022,1,171508,0,171508
14,2022,1,149208,471,149679
15,2022,1,156821,553,157374
16,2022,1,197510,5,197515
17,2022,1,87888,290,88178
18,2022,1,119659,185,119844
19,2022,1,48898,204,49102
20,2022,1,870364,115,870479
21,2022,1,116459,2,116461
22,2022,1,52298,313,52611
23,2022,1,245554,30,245584
0,2021,4,4502772,6385,4509157
1,2021,4,1409935,2184,1412119
2,2021,4,59089,1,59090
3,2021,4,143740,5,143745
4,2021,4,159364,944,160308
5,2021,4,986693,77,986770
6,2021,4,135908,4,135912
7,2021,4,265024,22,265046
8,2021,4,53663,0,53663
9,2021,4,113915,0,113915
10,2021,4,106834,173,107007
11,2021,4,83124,4,83128
12,2021,4,266783,804,267587
13,2021,4,171132,0,171132
14,2021,4,146989,477,147466
15,2021,4,153189,564,153753
16,2021,4,199399,6,199405
17,2021,4,79667,291,79958
18,2021,4,118662,187,118849
19,2021,4,48276,210,48486
20,2021,4,866265,176,866441
21,2021,4,115859,2,115861
22,2021,4,52042,315,52357
23,2021,4,238609,30,238639
0,2021,3,4246425,5184,4251609
1,2021,3,1411797,1608,1413405
2,2021,3,56253,1,56254
3,2021,3,139868,3,139871
4,2021,3,155266,800,156066
5,2021,3,946726,62,946788
6,2021,3,133816,3,133819
7,2021,3,260360,15,260375
8,2021,3,52795,0,52795
9,2021,3,111158,0,111158
10,2021,3,100371,116,100487
11,2021,3,82157,3,82160
12,2021,3,255320,619,255939
13,2021,3,158528,0,158528
14,2021,3,139436,373,139809
15,2021,3,144084,501,144585
16,2021,3,195831,2,195833
17,2021,3,79227,256,79483
