id_Provincia,id_Partido,id_Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
0,29,3575,0,0,0,0,1,1,0,0,0
0,29,3633,0,0,0,0,0,0,0,0,0
0,30,277,1,1,1,1,1,1,1,1,0
0,30,2236,0,0,0,0,0,0,1,1,0
0,30,2497,0,0,0,1,1,1,1,1,0
0,30,2924,0,0,0,0,1,0,0,1,0
0,30,3066,0,0,0,0,0,0,1,1,0
0,30,3690,0,0,0,0,1,1,1,1,0
0,32,307,1,1,0,1,1,1,1,1,1
0,32,1735,0,0,0,1,0,0,1,1,1
0,32,3212,0,0,0,0,1,0,0,1,0
0,32,3547,1,0,0,0,1,1,1,1,0
0,37,311,0,0,1,1,1,1,1,1,1
4,148,2007,0,0,0,0,0,0,1,0,1
0,164,1541,1,1,1,1,1,1,1,1,0
0,164,1867,0,0,0,0,0,0,0,0,0
0,164,2269,0,0,0,0,0,0,0,0,1
0,164,2742,0,0,0,0,0,0,1,0,0
0,164,3848,0,1,1,1,0,0,1,0,0
0,165,779,0,0,0,0,0,0,0,1,0
0,165,1542,0,1,0,1,1,1,1,1,1
0,165,2668,0,0,0,1,1,1,0,1,0
0,170,466,0,0,0,0,0,0,0,0,0
0,170,2159,0,0,0,0,1,1,1,1,0
0,170,2931,1,0,1,1,1,1,1,1,0
0,170,3847,0,0,0,0,0,0,1,1,0
0,172,959,1,0,0,0,1,1,1,1,0
13,365,1563,0,0,0,0,0,0,0,1,0
0,257,1545,0,1,0,1,1,0,1,0,0
0,257,2230,0,0,0,1,0,0,0,0,0
0,257,2308,1,1,1,0,1,1,1,1,0
0,257,2978,0,0,0,0,0,0,0,1,0
0,257,3533,0,0,0,1,0,0,1,1,0
0,258,2041,1,0,0,0,1,1,1,1,0
0,258,2312,1,0,1,0,1,1,1,1,0
0,258,3251,0,0,0,0,1,0,1,1,1
0,260,192,1,0,0,1,1,1,0,0,0
0,260,1604,1,1,0,1,1,1,1,0,0
0,260,1700,1,1,0,1,1,1,1,1,0
0,364,3102,1,1,1,1,1,1,1,1,0
0,364,3528,1,1,0,1,1,1,1,1,1
0,364,3854,1,1,0,1,1,1,1,0,0
0,366,31,1,1,1,1,1,1,1,0,1
0,366,511,1,1,0,1,1,1,1,1,0
0,366,558,1,1,0,1,1,1,1,1,0
1,50,2491,1,1,1,1,1,1,1,1,1
3,364,1462,0,0,0,1,1,1,0,1,0
3,364,2862,0,0,0,1,1,1,0,0,1
3,364,2953,1,1,1,1,1,1,1,1,1
3,370,3065,0,0,0,0,1,0,0,0,1
0,398,1121,0,0,0,1,1,1,0,1,0
0,398,1505,0,0,0,1,1,1,1,1,0
0,398,2369,1,0,0,0,1,0,1,1,0
0,398,3356,1,1,1,1,1,1,1,1,1
0,399,1067,0,0,0,0,0,0,0,0,0
0,399,3359,0,0,0,0,1,1,1,0,1
0,399,3517,0,0,0,0,0,0,0,0,0
0,404,520,1,1,0,1,1,1,1,1,1
0,404,1134,1,1,0,1,1,1,1,1,0
1,56,1431,1,1,1,1,1,1,1,1,1
4,148,2200,0,0,0,0,0,0,1,0,1
4,148,3443,1,0,1,0,1,1,1,1,1
4,148,3640,0,0,0,0,0,0,1,0,1
4,149,9,0,0,0,1,1,1,0,0,1
4,149,1133,0,0,0,0,0,0,1,0,0
4,149,1141,0,0,1,1,1,0,1,0,1
0,366,2366,1,1,1,1,1,1,1,1,1
0,366,3126,1,1,1,1,1,1,1,1,1
0,366,3540,1,1,0,1,1,1,1,0,0
0,373,516,1,1,1,1,1,1,1,1,1
0,373,621,0,0,0,0,1,1,0,0,1
0,373,2485,1,1,1,1,1,1,1,0,0
5,116,644,0,0,0,0,0,0,1,1,0
5,116,1073,0,0,0,0,0,0,0,1,0
0,39,530,1,1,1,1,1,1,1,1,0
0,39,2255,0,0,0,0,0,0,0,0,0
0,39,3555,0,0,0,1,1,1,0,1,0
0,39,3611,0,0,0,0,1,1,0,0,0
0,39,3671,0,0,0,0,0,0,0,0,0
0,39,3732,0,0,0,1,1,1,0,1,0
0,39,3752,0,0,0,0,0,0,0,0,0
0,39,3753,0,0,0,1,0,0,0,1,0
0,39,3780,0,0,0,0,1,1,0,0,0
0,39,3823,0,0,0,0,0,0,0,0,0
0,43,1641,1,0,0,0,0,0,1,0,0
0,43,1793,0,0,0,0,0,0,0,0,0
0,43,2362,0,0,0,0,0,0,0,0,0
0,43,2666,0,0,0,0,0,0,0,0,1
0,43,2722,0,0,0,0,0,1,1,1,0
0,43,3089,1,1,1,0,1,1,1,1,0
0,43,3470,0,0,1,0,1,1,1,1,0
0,43,3708,0,0,0,0,0,0,0,0,0
0,44,233,0,0,0,0,0,0,0,0,0
1,58,3494,1,1,1,1,1,1,1,1,1
5,341,109,0,0,0,0,1,1,0,0,0
5,341,541,1,1,0,1,1,1,1,1,0
5,341,571,1,0,0,0,1,1,0,0,1
5,341,782,0,0,0,1,1,1,1,0,1
5,341,833,1,0,0,1,1,1,1,1,0
5,341,1013,0,0,0,1,1,1,0,0,0
3,370,3572,0,0,0,1,1,1,0,1,1
3,387,664,0,0,0,1,1,1,1,1,0
3,387,914,0,0,0,0,1,1,1,0,1
3,387,978,0,0,0,1,1,1,1,1,0
3,387,1701,0,0,0,0,0,0,0,0,0
3,387,2071,0,0,0,0,1,1,1,1,1
3,400,791,0,0,0,1,1,1,1,0,1
3,400,1053,0,0,0,0,1,0,1,0,0
3,400,1645,0,0,0,0,0,0,0,0,0
3,400,1666,0,0,0,0,0,0,0,0,0
3,400,1979,0,0,0,0,0,0,0,0,0
4,42,227,0,0,0,0,0,0,0,0,1
4,42,2848,1,1,1,1,1,1,1,1,1
4,42,2853,0,0,0,0,1,1,1,1,1
4,42,2902,0,0,0,0,1,1,0,1,0
5,116,1076,1,1,0,1,1,1,1,1,0
5,116,1198,0,0,0,1,0,0,0,1,0
5,116,1312,0,0,0,0,0,0,0,0,0
5,116,1618,0,0,0,0,0,0,0,1,0
5,116,1840,0,0,0,0,0,0,0,0,1
5,116,1841,0,0,0,0,0,0,0,1,0
5,116,1907,1,0,0,0,1,0,1,1,0
5,116,2056,0,0,0,0,0,0,0,0,0
