Año,Trimestre,id_Provincia,<0.512 mbps,0.512 - 1 Mbps,1 - 6 Mbps,6 - 10 Mbps,10 - 20 Mbps,20 - 30 Mbps,>=30 Mbps,Otros,Total,Total2,Diferencia
2022,3,0,29985,27709,290315,297915,267044,12419,3618689,65821,4721668,4609897,111771
2022,3,1,5170,5742,34371,67829,51946,28692,1253105,105477,1547679,1552332,-4653
2022,3,2,710,3840,3107,5389,5099,3737,50298,2208,70293,74388,-4095
2022,3,3,4610,9870,16782,18938,8049,15828,79390,3711,144146,157178,-13032
2022,3,4,1090,1444,45707,3094,34682,15309,17563,20024,165778,138913,26865
2022,3,5,990,11312,153324,111615,70989,27112,650344,13873,1038668,1039559,-891
2022,3,6,670,3865,23427,23948,7776,21706,56950,7107,144846,145449,-603
2022,3,7,1070,5549,47210,46855,18263,32021,102195,16759,268959,269922,-963
2022,3,8,970,3070,23538,19545,6194,5640,17704,5890,68538,82551,-14013
2022,3,9,580,1879,19135,15254,36083,5190,45895,0,118823,124016,-5193
2022,3,10,680,1887,61540,9653,11592,5609,22731,3012,116092,116704,-612
2022,3,11,180,6890,2842,3375,24219,5331,50390,0,86864,93227,-6363
2022,3,12,1030,2953,44232,21977,48201,17243,150043,4771,289523,290450,-927
2022,3,13,510,3749,36628,20758,12676,19615,80330,835,182157,175101,7056
2022,3,14,1340,9910,38485,1408,92,67,78713,14858,163161,144873,18288
2022,3,15,1110,1221,32936,1786,27934,13629,42596,24271,160558,145483,15075
2022,3,16,1140,149,32923,71199,5662,1001,85661,6491,204541,204226,315
2022,3,17,240,2027,30324,11247,22157,678,19221,11619,103399,97513,5886
2022,3,18,600,3070,6563,20813,12061,67438,13,14815,122070,125373,-3303
2022,3,19,520,6841,12342,11313,11378,2333,4604,6470,49510,55801,-6291
2022,3,20,4680,11132,132709,198588,70897,57455,396352,20209,887810,892022,-4212
2022,3,21,1780,1384,28357,58982,16087,9100,12342,7920,119032,135952,-16920
2022,3,22,220,8310,12002,14815,20102,1752,1021,3351,53896,61573,-7677
2022,3,23,390,2047,32571,39018,25214,4348,159600,2800,263117,265988,-2871
2022,2,0,30639,28323,295238,307554,273954,129869,3535757,65849,4667183,4667183,0
2022,2,1,5170,598,36036,72434,55372,31571,1229254,105607,1536771,1536042,729
2022,2,2,710,4130,3678,6155,7165,3393,43926,2207,67008,71364,-4356
2022,2,3,4610,1047,17603,20109,8391,15974,76271,3708,143564,147713,-4149
2022,2,4,1090,1444,45804,31217,3429,14526,15394,20021,162805,132925,29880
2022,2,5,990,11971,160486,120485,71923,28645,619400,13426,1026435,1027326,-891
2022,2,6,670,3937,24253,24842,8001,21719,55071,7107,144997,145600,-603
2022,2,7,1070,5656,48637,48557,18512,32355,98769,16759,269352,270315,-963
2022,2,8,970,4070,23834,19706,633,5910,16326,5900,67881,77349,-9468
2022,2,9,580,1829,19458,1579,37786,5490,37391,2453,115314,106566,8748
2022,2,10,680,1887,62546,9842,118,5247,17125,3012,111527,100457,11070
2022,2,11,180,7280,3179,389,23814,5481,48920,0,86030,89243,-3213
2022,2,12,1030,2954,44961,22557,64138,19543,121366,394,279562,276943,2619
2022,2,13,510,3808,37254,21712,12774,19757,75107,835,178813,171757,7056
2022,2,14,1340,9990,38826,15066,9205,2039,76982,18717,161968,172165,-10197
2022,2,15,1110,1227,33364,17938,27168,13714,41972,2427,159764,138920,20844
2022,2,16,1140,153,33732,72661,6012,1156,81478,6494,203177,202826,351
2022,2,17,240,2027,30385,11276,24649,3728,16701,11617,100407,100623,-216
2022,2,18,600,3060,6840,21217,11052,67438,13,14815,121741,125035,-3294
2022,2,19,520,6841,12348,11369,11885,2454,3592,6440,49185,55449,-6264
2022,2,20,4680,11757,138534,204381,74133,58114,373888,17584,878859,883071,-4212
2022,2,21,1780,1401,29581,59931,14606,8830,10672,7920,118044,134721,-16677
2022,2,22,220,8310,12052,14828,19968,1712,1006,3351,53770,61447,-7677
2022,2,23,390,2195,34461,43513,23634,4863,145541,2810,254527,257407,-2880
2022,1,0,31591,30056,313382,321756,290127,161183,3381049,2628,4555424,4531772,23652
2022,1,1,5270,5575,39918,7739,61053,43289,1188072,1717,1417541,1352633,64908
2022,1,2,710,4560,4386,7009,8773,3761,35715,2207,62378,67121,-4743
2022,1,3,4610,1099,16888,21235,20898,13012,62946,758,144119,141446,2673
2022,1,4,1130,1677,61369,31856,3308,13871,14055,15607,171628,142873,28755
2022,1,5,1000,12782,165922,126009,73967,34892,577027,13104,1003803,1004703,-900
2022,1,6,670,4029,24563,25665,27077,10452,43631,7094,142578,143181,-603
2022,1,7,1070,5745,50075,4962,42294,21578,81757,1675,267926,209156,58770
2022,1,8,970,4480,24113,6945,6613,7160,15028,5880,54548,71189,-16641
2022,1,9,580,1761,22141,16321,37923,5760,35287,2442,116509,122215,-5706
2022,1,10,3010,2223,62812,9869,12044,525,14400,2833,109732,107716,2016
2022,1,11,180,7780,3576,4692,23624,5645,45970,0,84303,91467,-7164
2022,1,12,1140,3355,51230,26407,74178,21566,95048,3287,275185,276211,-1026
2022,1,13,510,3873,35655,22261,26855,15854,58610,8349,171508,171967,-459
