Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,id_Provincia,id_Localidad,id_Partido
0,--,--,--,--,--,--,--,SI,SI,6056020.0,"-38,6472605094596","-62,3200223419024",0,3575,29
0,--,--,--,--,--,--,--,--,--,6056020.0,"-38,7765069529222","-62,1851833537179",0,3633,29
38376,SI,SI,SI,SI,--,SI,SI,SI,SI,6063010.0,"-37,8482779294345","-58,2551665841248",0,277,30
337,--,--,--,--,--,SI,SI,--,--,6063020.0,"-37,9412057603","-58,3225920150442",0,2236,30
374,--,--,--,SI,--,SI,SI,SI,SI,6063030.0,"-37,6254980210026","-58,7461862359423",0,2497,30
95,--,--,--,--,--,SI,--,--,SI,6063040.0,"-37,5426353712017","-58,3407185507274",0,2924,30
498,--,--,--,--,--,SI,SI,--,--,6063050.0,"-38,0122838564587","-58,355377761682",0,3066,30
115,--,--,--,--,--,SI,SI,SI,SI,6063060.0,"-37,8596285282151","-57,9806008736401",0,3690,30
28537,SI,SI,--,SI,SI,SI,SI,SI,SI,6070010.0,"-33,8128781547156","-59,5043068852807",0,307,32
379,--,--,--,SI,SI,SI,SI,--,--,6070020.0,"-33,9810489198561","-59,6715601606315",0,1735,32
203,--,--,--,--,--,SI,--,--,SI,6070030.0,"-34,062154134736","-59,5585420642846",0,3212,32
1488,SI,--,--,--,--,SI,SI,SI,SI,6070040.0,"-33,9096038045591","-59,3882017132282",0,3547,32
1241,--,--,SI,SI,SI,SI,SI,SI,SI,6084010.0,"-37,6424111302365","-59,3889380312927",0,311,37
87,--,--,--,--,SI,--,SI,--,--,26035040.0,"-43,2500168518714","-71,3512318442886",4,2007,148
11331,SI,SI,SI,SI,--,SI,SI,SI,SI,6329020.0,"-34,9267739074255","-58,9453407851291",0,1541,164
41,--,--,--,--,--,--,--,--,--,6329030.0,"-34,7829908276155","-59,1095647693247",0,1867,164
0,--,--,--,--,SI,--,--,--,--,6329020.0,"-34,8542796259808","-59,0533451317779",0,2269,164
198,--,--,--,--,--,--,SI,--,--,6329050.0,"-34,7941193667757","-59,0279756935744",0,2742,164
1147,--,SI,SI,SI,--,--,SI,--,--,6329060.0,"-34,8300241949658","-58,9422589402025",0,3848,164
0,--,--,--,--,--,SI,--,--,--,6336020.0,"-36,4080851872455","-56,9433553335054",0,779,165
