Localidad,id_Localidad
1 De Agosto,0
11 De Septiembre,1
11 de Octubre,2
12 de Octubre,3
16 de Julio,4
17 de Agosto,5
1º de Mayo,6
20 De Junio,7
25 de Mayo,8
28 de Julio,9
28 de Noviembre,10
3 de Mayo,11
30 de Agosto,12
5Ta Brigada,13
7 de Abril,14
9 De Abril,15
9 de Julio,16
9 de Julio (Est. Pueblo 9 de Julio),17
9 de Julio Kilómetro 20,18
AGRONOMIA,19
ALMAGRO,20
ALPASINCHE,21
ALTO VERDE,22
Aarón Castellanos (Est. Castellanos),23
Abasto,24
Abbott,25
Abdón Castro Tolay,26
Abra Grande,27
Abra Pampa,28
Abralaite,29
Abramo,30
Acassuso,31
Acceso Norte,32
Acebal,33
Acevedo,34
Acheral,35
Achiras,36
Aconquija,37
Acoyte,38
Adelia María,39
Adolfo E. Carranza,40
Adolfo Gonzales Chaves (Est. Chaves),41
Adolfo Van Praet,42
Adrogué,43
Aerolito,44
Aeropuerto Internacional Ezeiza,45
Agrelo,46
Agua Escondida,47
Agua de Castilla,48
Agua de Oro,49
Aguada Cecilio,50
Aguada Guzmán,51
Aguada San Roque,52
Aguada de Guerra,53
Aguaray,54
Aguará Grande,55
Aguas Blancas,56
Aguas Calientes,57
Aguas Verdes,58
Aguilares,59
Agustina,60
Agustoni,61
Agustín Mosconi,62
Agustín Roca,63
Aicuña,64
Aimogasta,65
Alba Posse,66
Albarellos,67
Alberdi,68
Alberdi Viejo,69
Alberti (Est. Andrés Vaccarezza),70
Alcira (Est. Gigena),71
Alcorta,72
Aldao,73
Aldao (Est. Casablanca),74
Aldea Apeleg,75
Aldea Asunción,76
Aldea Beleiro,77
Aldea Brasilera,78
Aldea Epulef,79
Aldea Escolar,80
Aldea Grapschental,81
Aldea María Luisa,82
Aldea Protestante,83
Aldea Salto,84
Aldea San Antonio,85
Aldea San Francisco,86
Aldea San Juan,87
Aldea San Rafael,88
Aldea Santa María,89
Aldea Santa Rosa,90
Aldea Spatzenkutter,91
Aldea Valle María,92
Alderetes,93
Aldo Bonzi,94
Alejandra,95
Alejandro Korn,96
Alejandro Petión,97
Alejandro Roca (Est. Alejandro),98
Alejo Ledesma,99
Alfredo Demarchi (Est. Facundo Quiroga),100
Algarrobo del Águila,101
Alhuampa,102
Alicia,103
Alicia Baja,104
Alijilán,105
Allen,106
Almafuerte,107
Almirante Brown,108
Alpa Corral,109
Alpachiri,110
Alta Gracia,111
Alta Italia,112
Altamirano,113
Altamirano Sur,114
Alto Alegre,115
Alto Carrizal,116
Alto De Las Juntas,117
Alto De Sierra,118
Alto Los Cardales,119
Alto Pelado,120
Alto Pencoso,121
Alto Río Senguer,122
Alto Salvador,123
Alto Verde,124
Alto de Sierra,125
Alto de la Sierra,126
Alto de los Quebrachos,127
Altos de Chipión,128
Aluminé,129
Alvarez Jonte,130
Alvarez de Toledo,131
Alvear,132
Amadores,133
Amaicha del Valle,134
Amanao,135
Amaná,136
Ambil,137
Amboy,138
Ambrosetti,139
Ambul,140
Amenábar,141
Aminga,142
Ampascachi,143
Amuschina,144
América,145
Ana Zumarán,146
Ancaján,147
Ancasti,148
Anchorena,149
Andacollo,150
Andalgalá,151
Andalhualá,152
Andant,153
Andolucas,154
Andrade,155
Angastaco,156
Angel Etcheverry,157
Angel Gallardo,158
Angeloni,159
Angualasto,160
Anguil,161
Anguinan,162
Angulos,163
Angélica,164
Anillaco,165
Animaná,166
Anisacate,167
Anjullón,168
Anquincila,169
Antajé,170
Antelo,171
Antilla,172
Antinaco,173
Antofagasta de la Sierra,174
Antofalla,175
Antonio Carboni,176
Anzoategui,177
Aparicio,178
Aparzo,179
Apolinario Saravia,180
Apoyaco,181
Apóstoles,182
Arana,183
Aranguren,184
Arata,185
Arauco,186
Arbilla,187
Arbol Solo,188
Arboledas,189
Arcadia,190
Ardiles,191
Area De Promocion El Triángulo,192
Area Reserva Cinturón Ecológico,193
Arelauquen,194
Arenas Verdes,195
Arenaza,196
Arequito,197
Argentina,198
Argerich,199
Arias,200
Ariel,201
Aristóbulo del Valle,202
Arizona,203
Arminda,204
Armstrong,205
Arocena,206
Arrayanal,207
Arrecifes,208
Arribeños,209
Arroyito,210
Arroyo Aguiar,211
Arroyo Algodón,212
Arroyo Barú,213
Arroyo Cabral,214
Arroyo Ceibal,215
Arroyo Colorado,216
Arroyo Corto,217
Arroyo Dulce,218
Arroyo Leyes,219
Arroyo Los Berros,220
Arroyo Los Patos,221
Arroyo Martínez,222
Arroyo San Antonio,223
Arroyo Seco,224
Arroyo Venado,225
Arroyo Ventana,226
Arroyo Verde,227
Arroyo de la Cruz,228
Arroyo del Medio,229
Arrufo,230
Arteaga,231
Arturo Segui,232
Asamblea,233
Ascensión,234
Ascochinga,235
Assunta,236
Astica,237
Astra,238
Atahona,239
Atalaya,240
Ataliva,241
Ataliva Roca,242
Atlantida,243
Atocha,244
Aurelia,245
Ausonia,246
Avellaneda,247
Avellaneda (Est. Ewald),248
Averías,249
Avia Terai,250
Ayacucho,251
Azara,252
Azcuénaga,253
Azopardo,254
Azul,255
Añatuya,256
Añelo,257
BALVANERA,258
BARRACAS,259
BELGRANO,260
BERMEJO,261
BOCA,262
BOEDO,263
BUENA NUEVA,264
Bagual,265
Bahía Blanca,266
Bahía Bustamante,267
Bahía Creek,268
Bahía San Blas,269
Baigorrita,270
Bajada del Agrio,271
Bajo Caracoles,272
Bajo Carrizal,273
Bajo De Veliz,274
Bajo Hondo,275
Bajo San Cayetano,276
Balcarce,277
Balde,278
Balde De Azcurra,279
Balde De Escudero,280
Balde De La Isla,281
Balde De Los Torres,282
Balde Del Carmen,283
Balde Retamo,284
Balde de la Punta,285
Balde del Rosario,286
Baldecito De La Pampa,287
Ballesteros,288
Ballesteros Sur,289
Balnearia,290
Balneario La Verde,291
Balneario Laguna de Gómez,292
Balneario Marisol,293
Balneario Monje,294
Balneario Orense,295
Balneario Pehuen Co,296
Balneario San Cayetano,297
Balneario Sauce Grande,298
Bananal,299
Banco Payaguá,300
Banda de Lucero,301
Banda del Río Salí,302
Bandera,303
Bandera Bajada,304
Banderaló,305
Banfield,306
Baradero,307
Barda del Medio,308
Bardas Blancas,309
Bario Ita,310
Barker,311
Barra Concepción,312
Barranca Alta,313
Barranca Larga,314
Barrancas,315
Barranqueras,316
Barreal,317
Barreal - Villa Pituil,318
Barrio 12 de Octubre,319
Barrio 25 De Mayo,320
Barrio Adina I Y Ii,321
Barrio Aeropuerto,322
Barrio Alto del Olvido,323
Barrio America Unida,324
Barrio Araujo,325
Barrio Arroyo del Medio,326
Barrio Bancario,327
Barrio Banco Provincia,328
Barrio Belgrano Norte,329
Barrio Belgrano-Máximo Paz,330
Barrio Blanco,331
Barrio Caima,332
Barrio Caleta Cordova,333
Barrio Caleta Olivares,334
Barrio Calle Ciega Nº10,335
Barrio Calle Ciega Nº6,336
Barrio Campos El Toledano,337
Barrio Canale,338
Barrio Carrasco,339
Barrio Casa Rosada,340
Barrio Castelli,341
Barrio Chacra Monte,342
Barrio Chivilcoy,343
Barrio Cicarelli,344
Barrio Ciudadela,345
Barrio Colinas Verdes,346
Barrio Colonia Conesa,347
Barrio Cooperativa Los Campamentos,348
Barrio Costa Este,349
Barrio Costa Linda,350
Barrio Costa Oeste,351
Barrio Cuatro Bocas,352
Barrio Destacamento,353
Barrio Echeverria,354
Barrio El Boquerón,355
Barrio El Carmen (Este),356
Barrio El Carmen Oeste,357
Barrio El Casal,358
Barrio El Cepillo,359
Barrio El Congreso,360
Barrio El Coyunco,361
Barrio El Cruce,362
Barrio El Labrador,363
Barrio El Maruchito,364
Barrio El Milagro,365
Barrio El Mirador,366
Barrio El Nevado,367
Barrio El Pacaá - Barrio Comipini,368
Barrio El Peligro,369
Barrio El Petróleo,370
Barrio El Pilar,371
Barrio El Taladro,372
Barrio El Treinta,373
Barrio Emanuel,374
Barrio Emergente,375
Barrio Empleados de Comercio,376
Barrio Escuela 461,377
Barrio Escuela 633,378
Barrio Esperanza,379
Barrio Finca La Maroma,380
Barrio Frontera,381
Barrio Fátima,382
Barrio Gambier,383
Barrio Gasoducto,384
Barrio Gilbert,385
Barrio Goretti,386
Barrio Guatambu,387
Barrio Guemes,388
Barrio Guerrico,389
Barrio Intendencia,390
Barrio Isla 10,391
Barrio Jesús de Nazaret,392
Barrio Jocolí II,393
Barrio Justo P. Castro IV,394
Barrio Kennedy,395
Barrio La Barda,396
Barrio La Costa,397
Barrio La Defensa,398
Barrio La Esperanza,399
Barrio La Estación,400
Barrio La Gloria,401
Barrio La Herradura,402
Barrio La Lor,403
Barrio La Palmera,404
Barrio La Pega,405
Barrio La Ribera - Barrio APYCAR,406
Barrio La Rotonda,407
Barrio La Unión,408
Barrio Lagunas de Bartoluzzi,409
Barrio Laprida,410
Barrio Las Angustias,411
Barrio Las Casuarinas,412
Barrio Las Golondrinas,413
Barrio Las Malvinas,414
Barrio Las Margaritas,415
Barrio Las Quintas,416
Barrio Las Rosas,417
Barrio Las Tunas,418
Barrio Lomas Altas,419
Barrio Lomas de Tafí,420
Barrio Los Bosquecitos,421
Barrio Los Charabones,422
Barrio Los Jarilleros,423
Barrio Los Olivos,424
Barrio Los Olmos,425
Barrio Los Pinares,426
Barrio Los Pioneros,427
Barrio Luisillo,428
Barrio Manantial Rosales,429
Barrio Mar del Plata,430
Barrio María Auxiliadora,431
Barrio María Elvira,432
Barrio Militar - Aeropuerto Militar,433
Barrio Mitre,434
Barrio Molina Cabrera,435
Barrio Mosconi,436
Barrio Moño Azul,437
Barrio Municipal,438
Barrio Mutual San Martín,439
Barrio Norte (municipio de Cinco Saltos),440
Barrio Norte (municipio de Cipolletti),441
Barrio Ntra. Sra. De Fátima,442
Barrio Nuevo Garupa,443
Barrio Nuevo Río Ceballos,444
Barrio Parada 14,445
Barrio Parque Almirante Irizar (Ap. Kilómetro 61),446
Barrio Parque General San Martin,447
Barrio Parque Las Acacias,448
Barrio Perdriel IV,449
Barrio Pinar,450
Barrio Pino Azul,451
Barrio Planta Compresora de Gas,452
Barrio Porvenir,453
Barrio Presidente Perón,454
Barrio Primavera,455
Barrio Prospero Palazzo,456
Barrio Puente 83,457
Barrio Puente De Madera,458
Barrio Restinga Ali,459
Barrio Rivadavia,460
Barrio Rodriguez Peña,461
Barrio Ruca Luhé,462
Barrio Rural,463
Barrio Ruta 24 Kilómetro 10,464
Barrio Ruta 40,465
Barrio Río Salado,466
Barrio Saavedra,467
Barrio Sadop,468
Barrio San Cayetano,469
Barrio San Felipe,470
Barrio San Jorge,471
Barrio San José III,472
Barrio Santa Isabel,473
Barrio Santa Lucia,474
Barrio Santa Paula,475
Barrio Santa Rita,476
Barrio Santa Rosa,477
Barrio Santa Teresita,478
Barrio Sarmiento,479
Barrio Tres Luces,480
Barrio Tungoil,481
Barrio U.T.A. II,482
Barrio Universitario,483
Barrio Unión,484
Barrio Villa S.U.P.E.,485
Barrio Villa del Parque,486
Barrio Virgen del Rosario,487
Barrio de los Pescadores,488
Barrio del Lago,489
Barrios,490
Barrios Acapulco y Veracruz,491
Bartolomé de las Casas,492
Basail,493
Basavilbaso,494
Base Belgrano Ii,495
Base Brown,496
Base Carlini,497
Base Esperanza,498
Base Marambio,499
Base Matienzo,500
Base Orcadas,501
Base San Martin,502
Batavia,503
Batán,504
Bauer y Sigel,505
Bayauca,506
Bañado de Ovanta,507
Bañado de Soto,508
Bañado de los Pantanos,509
Beazley,510
Beccar,511
Belen de Escobar,512
Bell Ville,513
Bella Estancia,514
Bella Italia,515
Bella Vista,516
Bellocq,517
Beltrán,518
Belén,519
Benavídez,520
Bengolea,521
Benitez,522
Benito Juárez (Est. Juárez),523
Benito Legeren,524
Benjamín Gould,525
Beravebú,526
Berazategui,527
Berazategui Oeste,528
Berdier,529
Berisso,530
Bermejito,531
Bermejo,532
Bermúdez,533
Berna,534
Bernal,535
Bernal Oeste,536
Bernardo Larroude,537
Bernardo de Irigoyen,538
Bernardo de Irigoyen (Est. Irigoyen),539
Bernasconi,540
Berrotarán,541
Berutti,542
Berón de Astrada,543
Betbeder,544
Bialet Massé,545
Bigand,546
Billinghurst,547
Blancagrande,548
Blanco Encalada,549
Blancuntre,550
Blaquier,551
Boca Del Tigre,552
Bocayuva,553
Bombal,554
Bonpland,555
Bordenave,556
Bosques,557
Boulogne Sur Mer,558
Bouquet,559
Bouwer,560
Bovril,561
Bowen,562
Bragado,563
Brea Pozo,564
Brinkmann,565
Buen Orden,566
Buen Pasto,567
Buena Esperanza,568
Buena Vista,569
Buenos Aires Chico,570
Bulnes,571
Burzaco,572
Bustinza,573
Buta Ranquil,574
Bárcena,575
CABALLITO,576
CARRODILLA,577
CHACARITA,578
CHACRAS DE CORIA,579
COGHLAN,580
COLEGIALES,581
COLONIA SEGOVIA,582
CONSTITUCION,583
COQUIMBITO,584
CRUZ DE PIEDRA,585
Cabal,586
Cabalango,587
Cabeza De Novillo,588
Cabildo,589
Cabra Corral,590
Caburei,591
Cacharí,592
Cacheuta,593
Cachi,594
Cachirulo,595
Cacique Ariacaiquín,596
Cadret,597
Cafayate,598
Cafferata,599
Caimancito,600
Calabacilla,601
Calchaquí,602
Calchín,603
Calchín Oeste,604
Caldenadas,605
Caleta Olivia,606
Caleufú,607
Calilegua,608
Calingasta,609
Camarones,610
Camet,611
Camet Norte,612
Camilo Aldao,613
Caminiaga,614
Campamento Vespucio,615
Campana,616
Campanas,617
Campichuelo,618
Campo Afuera,619
Campo Andino,620
Campo De Mayo,621
Campo Durán,622
Campo Gallo,623
Campo Garay,624
Campo Grande,625
Campo La Cruz,626
Campo Largo,627
Campo Los Andes,628
Campo Quijano,629
Campo Ramón,630
Campo Santo,631
Campo Viera,632
Campo de Herrera,633
Campos Salles,634
Campos de Roca,635
Campos del Virrey,636
Canals,637
Candelaria,638
Candelaria Sur,639
Candioti,640
Cangrejillos,641
Canning,642
Canteras El Sauce,643
Canteras Quilpo,644
Capayán,645
Capdeville,646
Capiazuti,647
Capilla Del Rosario,648
Capilla Vieja,649
Capilla de Sitón,650
Capilla de los Remedios,651
Capilla del Carmen,652
Capilla del Monte,653
Capilla del Señor (Est. Capilla),654
Capioviciño,655
Capioví,656
Capitán Bermúdez,657
Capitán Castro,658
Capitán Cáceres,659
Capitán General Bernardo O'Higgins,660
Capitán Juan Pagé,661
Capitán Montoya,662
Capitán Sarmiento,663
Capitán Solari,664
Capivara,665
Caraguatay,666
Carahunco,667
Carapachay,668
Carboncito,669
Carcarañá,670
Cardenal Cagliero,671
Carhué,672
Carilo,673
Carlos Beguerie,674
Carlos Casares,675
Carlos Keen,676
Carlos María Naón,677
Carlos Pellegrini,678
Carlos Salas,679
Carlos Spegazzini,680
Carlos Tejedor,681
Carlos Tomás Sourigues,682
Carmen,683
Carmen de Areco,684
Carmen de Patagones,685
Carmen del Sauce,686
Carmensa,687
Carnerillo,688
Carolina,689
Carpinteria,690
Carpintería,691
Carrenleufú,692
Carreras,693
Carrilobo,694
Carrizales (Est. Clarke),695
Carro Quemado,696
Casa Bamba,697
Casa Colorada,698
Casa De Los Tigres,699
Casa Grande,700
Casa de Piedra,701
Casabindo,702
Casalegno,703
Casalins,704
Casares,705
Casas,706
Casbas,707
Cascadas,708
Caseros,709
Caseros Centro,710
Casilda,711
Casira,712
Caspalá,713
Caspi Corral,714
Caspichango,715
Castelar,716
Castellanos,717
Castelli,718
Castilla,719
Castro Barros,720
Catriel,721
Catriló,722
Catua,723
Caucete,724
Causana,725
Cavanagh,726
Caviahué,727
Cavour,728
Cayastacito,729
Cayastá,730
Cazador,731
Cazadores Correntinos,732
Cazón,733
Caá - Yarí,734
Cañada Escobar,735
Cañada Honda,736
Cañada Ombú,737
Cañada Rica,738
Cañada Rosquín,739
Cañada Seca,740
Cañada de Gómez,741
Cañada de Luque,742
Cañada de Machado,743
Cañada de Río Pinto,744
Cañada del Sauce,745
Cañada del Ucle,746
Cañadón Chileno,747
Cañadón Seco,748
Cañuelas,749
Ceballos,750
Ceibalito,751
Ceibas,752
Centenario,753
Centeno,754
Centinela del Mar,755
Centro 25 de Junio,756
Centro Agrícola El Pato,757
Centro Forestal,758
Centro Guerrero,759
Cepeda,760
Ceres,761
Cerrillos,762
Cerrito,763
Cerrito Blanco,764
Cerro Azul,765
Cerro Colorado,766
Cerro Corá,767
Cerro Cóndor,768
Cerro Negro,769
Cerro Policía,770
Cerro de Oro,771
Cerro de la Gloria,772
Cerros Largos,773
Cervantes,774
Cevil Redondo,775
Chabás,776
Chacabuco,777
Chacharramendi,778
Chacras de San Clemente,779
Chacras del Río Luján,780
Chajarí,781
Chaján,782
Chalacea,783
Chalicán,784
Chamical,785
Chancani,786
Chapadmalal,787
