Partido,id_Partido
12 de Octubre,0
1º de Mayo,1
2 de Abril,2
25 de Mayo,3
9 de Julio,4
ANTARTIDA ARGENTINA,5
Adolfo Alsina,6
Adolfo Gonzales Chaves,7
Aguirre,8
Albardón,9
Alberdi,10
Alberti,11
Almirante Brown,12
Aluminé,13
Ambato,14
Ancasti,15
Andalgalá,16
Angaco,17
Anta,18
Antofagasta de la Sierra,19
Apóstoles,20
Arauco,21
Arrecifes,22
Atamisqui,23
Atreucó,24
Avellaneda,25
Ayacucho,26
Azul,27
Añelo,28
Bahía Blanca,29
Balcarce,30
Banda,31
Baradero,32
Bariloche,33
Belgrano,34
Bella Vista,35
Belén,36
Benito Juárez,37
Berazategui,38
Berisso,39
Bermejo,40
Berón de Astrada,41
Biedma,42
Bolívar,43
Bragado,44
Brandsen,45
Burruyacú,46
COMUNA 01,47
COMUNA 02,48
COMUNA 03,49
COMUNA 04,50
COMUNA 05,51
COMUNA 06,52
COMUNA 07,53
COMUNA 08,54
COMUNA 09,55
COMUNA 10,56
COMUNA 11,57
COMUNA 12,58
COMUNA 13,59
COMUNA 14,60
COMUNA 15,61
Cachi,62
Cafayate,63
Cainguás,64
Calamuchita,65
Caleu Caleu,66
Calingasta,67
Campana,68
Candelaria,69
Capayán,70
Capital,71
Capitán Sarmiento,72
Carlos Casares,73
Carlos Tejedor,74
Carmen de Areco,75
Caseros,76
Castellanos,77
Castelli,78
Castro Barros,79
Catan LilL,80
Catriló,81
Caucete,82
Cañuelas,83
Cerrillos,84
Chacabuco,85
Chalileo,86
Chamical,87
Chapaleufú,88
Chascomús,89
Chical Co,90
Chicligasta,91
Chicoana,92
Chilecito,93
Chimbas,94
Chivilcoy,95
Chos Malal,96
Choya,97
Cochinoca,98
Collón Curá,99
Colón,100
Comandante Fernández,101
Concepción,102
Concordia,103
Conesa,104
Confluencia,105
Conhelo,106
Constitución,107
Copo,108
Coronel Dorrego,109
Coronel Felipe Varela,110
Coronel Pringles,111
Coronel Suárez,112
Coronel de Marina L. Rosales,113
