,Año,Trimestre,Accesos por cada 100 hogares,id_Provincia
0,2022,3,78.11,0
1,2022,3,122.28,1
2,2022,3,65.33,2
3,2022,3,43.86,3
4,2022,3,84.38,4
5,2022,3,88.31,5
6,2022,3,48.21,6
7,2022,3,63.67,7
8,2022,3,43.76,8
9,2022,3,58.91,9
10,2022,3,96.59,10
11,2022,3,80.66,11
12,2022,3,51.03,12
13,2022,3,51.82,13
14,2022,3,80.37,14
15,2022,3,67.98,15
16,2022,3,57.76,16
17,2022,3,50.8,17
18,2022,3,81.74,18
19,2022,3,43.19,19
20,2022,3,78.55,20
21,2022,3,47.98,21
22,2022,3,99.51,22
23,2022,3,61.14,23
24,2022,2,77.58,0
25,2022,2,121.31,1
26,2022,2,62.4,2
27,2022,2,43.79,3
28,2022,2,83.19,4
29,2022,2,87.48,5
30,2022,2,48.35,6
31,2022,2,63.9,7
32,2022,2,43.42,8
33,2022,2,57.32,9
34,2022,2,92.98,10
35,2022,2,80.14,11
36,2022,2,49.39,12
37,2022,2,51.0,13
38,2022,2,80.02,14
39,2022,2,67.85,15
40,2022,2,57.54,16
41,2022,2,49.46,17
42,2022,2,81.76,18
43,2022,2,43.15,19
44,2022,2,77.9,20
45,2022,2,47.7,21
46,2022,2,99.86,22
47,2022,2,59.31,23
48,2022,1,76.08,0
49,2022,1,111.8,1
50,2022,1,58.21,2
51,2022,1,44.06,3
52,2022,1,88.05,4
53,2022,1,85.76,5
54,2022,1,47.64,6
55,2022,1,63.7,7
56,2022,1,34.96,8
57,2022,1,58.06,9
58,2022,1,91.66,10
59,2022,1,78.77,11
60,2022,1,48.74,12
61,2022,1,49.04,13
62,2022,1,74.17,14
63,2022,1,67.04,15
64,2022,1,56.11,16
65,2022,1,43.55,17
66,2022,1,80.72,18
67,2022,1,43.34,19
68,2022,1,77.3,20
69,2022,1,47.17,21
70,2022,1,98.29,22
71,2022,1,57.39,23
72,2021,4,75.66,0
73,2021,4,111.27,1
74,2021,4,55.25,2
75,2021,4,44.05,3
76,2021,4,82.57,4
77,2021,4,84.51,5
78,2021,4,45.51,6
79,2021,4,63.16,7
80,2021,4,34.45,8
81,2021,4,56.92,9
82,2021,4,89.57,10
83,2021,4,77.92,11
84,2021,4,47.51,12
85,2021,4,49.06,13
86,2021,4,73.3,14
87,2021,4,65.69,15
88,2021,4,56.81,16
89,2021,4,39.59,17
90,2021,4,80.3,18
91,2021,4,43.05,19
92,2021,4,77.09,20
93,2021,4,47.05,21
94,2021,4,98.4,22
95,2021,4,55.93,23
96,2021,3,71.68,0
97,2021,3,111.27,1
98,2021,3,52.71,2
99,2021,3,42.96,3
100,2021,3,80.71,4
101,2021,3,81.28,5
102,2021,3,44.9,6
103,2021,3,62.18,7
104,2021,3,33.96,8
105,2021,3,55.69,9
106,2021,3,84.28,10
107,2021,3,77.26,11
108,2021,3,45.55,12
109,2021,3,45.57,13
110,2021,3,69.71,14
111,2021,3,61.97,15
112,2021,3,55.96,16
113,2021,3,39.46,17
114,2021,3,79.87,18
115,2021,3,43.75,19
116,2021,3,75.02,20
117,2021,3,47.0,21
118,2021,3,94.95,22
119,2021,3,54.64,23
120,2021,2,70.0,0
121,2021,2,110.14,1
122,2021,2,52.34,2
123,2021,2,43.33,3
124,2021,2,72.29,4
125,2021,2,80.12,5
126,2021,2,43.54,6
127,2021,2,61.66,7
128,2021,2,33.23,8
129,2021,2,56.18,9
130,2021,2,82.08,10
131,2021,2,76.98,11
132,2021,2,40.97,12
133,2021,2,45.01,13
134,2021,2,69.14,14
135,2021,2,61.94,15
136,2021,2,54.93,16
137,2021,2,39.28,17
138,2021,2,83.48,18
139,2021,2,44.01,19
140,2021,2,75.07,20
141,2021,2,46.56,21
142,2021,2,67.89,22
143,2021,2,54.93,23
144,2021,1,69.11,0
145,2021,1,108.42,1
146,2021,1,48.9,2
147,2021,1,43.14,3
148,2021,1,68.99,4
149,2021,1,78.59,5
150,2021,1,42.66,6
151,2021,1,60.44,7
152,2021,1,32.73,8
153,2021,1,55.63,9
154,2021,1,81.78,10
155,2021,1,49.81,11
156,2021,1,39.15,12
157,2021,1,43.17,13
158,2021,1,66.84,14
159,2021,1,60.88,15
160,2021,1,53.93,16
161,2021,1,39.06,17
162,2021,1,81.24,18
163,2021,1,41.65,19
164,2021,1,73.92,20
165,2021,1,45.67,21
166,2021,1,77.35,22
167,2021,1,54.82,23
168,2020,4,68.98,0
169,2020,4,108.31,1
170,2020,4,49.41,2
171,2020,4,43.03,3
172,2020,4,68.35,4
173,2020,4,78.08,5
174,2020,4,42.43,6
175,2020,4,59.47,7
176,2020,4,32.49,8
177,2020,4,53.46,9
178,2020,4,81.77,10
179,2020,4,50.11,11
180,2020,4,38.63,12
181,2020,4,42.64,13
182,2020,4,67.0,14
183,2020,4,61.09,15
184,2020,4,54.04,16
185,2020,4,36.32,17
186,2020,4,81.68,18
187,2020,4,37.0,19
188,2020,4,73.58,20
