Año,Variacion_Porcentaje(ultimo_mes),ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
2011,15.28,4.13,4.15,4.15,4.30,4.29,4.27,4.34,4.43,4.43,4.48,4.62,4.73
2012,43.34,4.78,4.71,4.92,5.07,5.90,5.93,6.29,6.35,6.28,6.32,6.42,6.78
2013,46.76,7.89,7.82,8.38,9.37,8.75,8.00,8.48,9.20,9.43,9.87,9.53,9.95
2014,37.69,11.15,11.20,10.70,10.45,11.30,12.05,12.60,13.95,15.60,14.18,13.00,13.70
2015,3.43,13.50,12.93,12.52,12.60,12.55,13.30,14.79,15.32,15.84,15.60,14.59,14.17
2016,16.23,13.87,15.21,14.86,14.26,14.11,14.65,15.07,15.01,15.31,15.16,15.75,16.47
2017,14.63,16.24,15.88,15.58,15.59,15.99,16.44,17.65,17.83,17.51,17.70,17.56,18.88
2018,103.92,19.55,19.95,20.36,20.60,25.17,28.40,27.45,36.00,39.30,34.50,36.00,38.50
2019,90.91,35.50,38.80,42.65,45.00,44.50,42.30,43.70,60.00,58.25,66.00,66.25,73.50
2020,117.69,74.00,74.50,78.50,108.00,115.00,116.00,131.00,131.00,140.00,163.00,149.00,160.00
2021,27.50,148.00,141.00,136.00,145.00,152.00,163.00,175.50,176.50,182.00,193.50,197.50,204.00
2022,67.65,209.00,207.00,196.00,196.50,201.00,234.00,286.00,285.00,284.00,286.00,310.00,342.00
